大カテゴリ	小カテゴリ	条文No（判例）	問題文	解答1	解答2	解答3	解答4
憲法	人権判例	最大判昭38.5.22（ポポロ事件）	【判例】憲法23条の学問の自由は、{0}の自由とその{1}の自由とを含むものであって、特に{2}におけるそれらの自由を保障することを趣旨としたものである。	学問的研究	研究結果の発表	大学	
憲法	人権判例	最大判昭47.11.22（小売市場事件）	【判例】個人の経済活動に対する法的規制は、{0}に弊害を除去ないし緩和するために必要かつ合理的な規制であり、憲法は全体として{1}理想のもとに社会経済の均衡のとれた調和的発展を企図しており、すべての国民にいわゆる{2}を保障している。	消極的	福祉国家的	生存権	
憲法	人権判例	最大判昭50.4.30（薬局距離制限事件）	【判例】一般に{0}は、狭義における職業の{1}の自由そのものに制約を課すもので、職業の自由に対する強力な制限である。それが社会政策上の{2}な目的のための措置ではなく、消極的、{3}措置である場合には、よりゆるやかな制限では目的を十分に達成できないと認められることを要する。	許可制	選択	積極的	警察的
憲法	人権判例	最大判昭62.4.22（森林法共有林事件）	【判例】財産権は、それ自体に{0}する制約があるほか、立法府が社会全体の利益を図るために加える規制により制約を受ける。規制目的が{1}に合致しないことが明らかであるか、又は規制手段が必要性若しくは合理性に欠けていることが明らかである場合に限り、当該規制立法の効力を否定することができる。	内在	公共の福祉		
憲法	人権判例	最大判昭37.11.28（第三者所有物没収事件）	【判例】第三者の所有物を没収する場合、所有物を没収せられる第三者についても、{0}、弁解、防禦の機会を与えることが必要であって、これなくして第三者の所有物を没収することは、{1}な法律手続によらないで、{2}を侵害する制裁を科するに外ならない。	告知	適正	財産権	
憲法	人権判例	最大判平4.7.1（成田新法事件）	【判例】憲法31条の定める{0}の保障は、直接には{1}に関するものであるが、{2}については、それが{1}ではないとの理由のみで、そのすべてが当然に同条による保障の枠外にあると判断することは相当ではない。	法定手続	刑事手続	行政手続	
憲法	人権判例	最大判昭47.11.22（川崎民商事件）	【判例】憲法35条1項の規定は、本来、主として{0}追及の手続における強制について、それが{1}による事前の抑制の下におかれるべきことを保障した趣旨であるが、当該手続が{0}追及を目的とするものでないとの理由のみで、その保障の枠外にあると判断することは相当ではない。	刑事責任	司法権		
憲法	人権判例	最大判昭42.5.24（朝日訴訟）	【判例】憲法25条1項の規定は、すべての国民が健康で{0}な最低限度の生活を営み得るように国政を運営すべきことを国の責務として宣言したにとどまり、直接個々の国民に対して{1}権利を賦与したものではない。{1}権利としては、{2}によってはじめて与えられている。	文化的	具体的	生活保護法	
憲法	人権判例	最大判昭57.7.7（堀木訴訟）	【判例】憲法25条の規定の趣旨にこたえて具体的にどのような{0}措置を講ずるかの選択決定は、{1}の広い{2}にゆだねられており、それが著しく合理性を欠き明らかに{2}の逸脱・濫用と見ざるをえないような場合を除き、裁判所が審査判断するのに適しない事柄である。	立法	立法府	裁量	
憲法	人権判例	最大判昭35.6.8（苫米地事件）	【判例】わが憲法の{0}の制度の下においても、直接{1}の基本に関する高度に政治性のある国家行為のごときは、裁判所の審査権の外にあり、その判断は主権者たる国民に対して{2}責任を負うところの政府、国会等の政治部門の判断に委される。	三権分立	国家統治	政治的	
憲法	人権判例	最判昭52.3.15（富山大学事件）	【判例】一般市民社会の中にあってこれとは別個に{0}な法規範を有する特殊な{1}における法律上の係争のごときは、それが一般市民法秩序と直接の関係を有しない{2}な問題にとどまる限り、{3}の司法審査の対象にはならない。	自律的	部分社会	内部的	裁判所
憲法	人権判例	最判昭63.12.20（共産党袴田事件）	【判例】政党が党員に対してした処分の当否は、右政党の{0}に定めた規範が{1}に反するなどの特段の事情のない限り右規範に照らし、右規範を有しないときは{2}に基づき、{3}な手続に則ってされたか否かによって決すべきである。	自律的	公序良俗	条理	適正
憲法	人権判例	最大判昭27.10.8（警察予備隊違憲訴訟）	【判例】わが裁判所が現行の制度上与えられているのは{0}を行う権限であり、{0}が発動するためには{1}な争訟事件が提起されることを必要とする。我が裁判所は{2}な判断を下すごとき権限を行い得るものではない。最高裁判所は法律命令等に関し{3}を有するが、この権限は{0}の範囲内において行使される。	司法権	具体的	抽象的	違憲審査権
憲法	人権判例	最大判昭34.12.16（砂川事件）	【判例】本件安全保障条約は、{0}国としてのわが国の存立の基礎に極めて重大な関係をもつ高度の政治性を有するものであって、内閣およびこれを{1}した国会の高度の政治的ないし{2}判断と表裏をなす。一見極めて{3}に違憲無効であると認められない限りは、裁判所の司法裁判権の範囲外のものである。	主権	承認	自由裁量的	明白
行政法 / 行政代執行法	行政代執行法	行政代執行法第6条	代執行に要した費用は、{0}の例により、これを徴収することができる。	国税滞納処分			
行政法 / 行政代執行法	行政代執行法	行政代執行法第6条	代執行に要した費用については、行政庁は、国税及び地方税に次ぐ順位の{0}を有する。	先取特権			
行政法 / 行政手続法	申請に対する処分	行政手続法第6条	行政庁は、申請がその事務所に{0}してから当該申請に対する処分をするまでに通常要すべき{1}な期間を定めるよう努める。	到達	標準的		
行政法 / 行政手続法	申請に対する処分	行政手続法第8条	行政庁は、申請により求められた許認可等を拒否する処分をする場合は、申請者に対し、{0}、当該処分の{1}を示さなければならない。	同時に	理由		
行政法 / 行政手続法	申請に対する処分	行政手続法第8条2項	行政手続法第8条2項：理由の提示は{0}でするときは、同項の理由は、{0}により示さなければならない。	書面			
行政法 / 行政手続法	申請に対する処分	行政手続法第10条	行政庁は、申請に対する処分であって、申請者以外の者の利害を考慮すべきことが当該法令において{0}の要件とされているものを行う場合には、{1}の開催その他の適当な方法により意見を聴く機会を設ける。	許認可等	公聴会		
行政法 / 行政手続法	聴聞	行政手続法第21条	当事者又は参加人は、聴聞の期日への出頭に代えて、{0}に対し、聴聞の期日までに{1}及び{2}を提出することができる。	主宰者	陳述書	証拠書類等	
行政法 / 行政手続法	聴聞	行政手続法第24条	{0}は、聴聞の審理の経過を記載した{1}を作成し、当該{1}において、不利益処分の原因となる事実に対する当事者及び参加人の{2}を明らかにしておかなければならない。	主宰者	調書	陳述の要旨	
行政法 / 行政手続法	行政指導	行政手続法第35条	行政指導に携わる者は、その相手方に対して、当該行政指導の{0}及び{1}並びに{2}を明確に示さなければならない。	趣旨	内容	責任者	
行政法 / 行政手続法	行政指導	行政手続法第36条	複数の者を対象とする行政指導をしようとするときは、行政機関は、あらかじめ、事案に応じ、{0}を定め、かつ、行政上特別の支障がない限り、これを{1}しなければならない。	行政指導指針	公表		
行政法 / 行政手続法	意見公募手続	行政手続法第39条	命令等制定機関は、命令等を定めようとする場合には、意見の{0}及び意見の提出のための期間を定めて広く一般の意見を求めなければならない。	提出先			
行政法 / 行政手続法	意見公募手続	行政手続法第39条2項	意見公募手続により公示する命令等の案は、{0}かつ明確な内容のものであって、当該命令等の{1}及び当該命令等を定める根拠となる法令の条項が明示されたものでなければならない。	具体的	題名		
行政法 / 行政手続法	意見公募手続	行政手続法第39条3項	意見提出期間は、同項の公示の日から起算して{0}以上でなければならない。	30日			
行政法 / 行政不服審査法	総則	行政不服審査法第1条	行政不服審査法は、国民の{0}の救済を図るとともに、行政の{1}な運営を確保することを目的とする。	権利利益	適正		
行政法 / 行政不服審査法	総則	行政不服審査法第3条	法令に基づき行政庁に対して処分についての{0}をした者は、当該{0}から{1}が経過したにもかかわらず、行政庁の不作為がある場合には、審査請求をすることができる。	申請	相当の期間		
行政法 / 行政不服審査法	総則	行政不服審査法第5条	行政庁の処分につき処分庁以外の行政庁に対して審査請求をすることができる場合において、法律に{0}をすることができる旨の定めがあるときは、処分庁に対して{0}をすることができる。	再調査の請求			
行政法 / 行政不服審査法	総則	行政不服審査法第6条	行政庁の処分につき{0}に{1}をすることができる旨の定めがある場合には、当該処分についての審査請求の裁決に不服がある者は、{1}をすることができる。	法律	再審査請求		
行政法 / 行政不服審査法	審査請求の期間	行政不服審査法第18条	処分についての審査請求は、処分があったことを知った日の翌日から起算して{0}以内にしなければならない。	3月			
行政法 / 行政不服審査法	審査請求の期間	行政不服審査法第18条2項	処分についての審査請求は、処分の日から{0}を経過したときは、することができない。ただし、{1}があるときは、この限りでない。	1年	正当な理由		
行政法 / 行政不服審査法	審理手続	行政不服審査法第19条	審査請求は、他の法律に口頭ですることができる旨の定めがある場合を除き、政令で定めるところにより、{0}を提出してしなければならない。	審査請求書			
行政法 / 行政不服審査法	審理手続	行政不服審査法第29条	審理員は、審査庁から指名されたときは、直ちに、{0}又は審査請求録取書の写しを処分庁等に送付しなければならない。	審査請求書			
行政法 / 行政不服審査法	審理手続	行政不服審査法第29条2項	審理員は、{0}を定めて、処分庁等に対し、{1}の提出を求めるものとする。	相当の期間	弁明書		
行政法 / 行政不服審査法	裁決	行政不服審査法第45条	処分についての審査請求が法定の期間経過後にされたものである場合には、審査庁は、裁決で、当該審査請求を{0}する。	却下			
行政法 / 行政不服審査法	裁決	行政不服審査法第45条2項	処分についての審査請求が理由がない場合には、審査庁は、裁決で、当該審査請求を{0}する。	棄却			
行政法 / 行政不服審査法	教示	行政不服審査法第82条	行政庁は、不服申立てをすることができる処分をする場合には、処分の相手方に対し、不服申立てをすべき行政庁及び不服申立てをすることができる期間を{0}で{1}しなければならない。	書面	教示		
行政法 / 行政事件訴訟法	訴訟類型	行政事件訴訟法第4条	この法律において「当事者訴訟」とは、当事者間の法律関係を確認し又は形成する処分又は裁決に関する訴訟で{0}によりその法律関係の当事者の一方を被告とするもの及び{1}上の法律関係に関する訴訟をいう。	法令の規定	公法		
行政法 / 行政事件訴訟法	訴訟類型	行政事件訴訟法第5条	この法律において「民衆訴訟」とは、国又は公共団体の機関の{0}に適合しない行為の是正を求める訴訟をいう。	法規			
行政法 / 行政事件訴訟法	取消訴訟	行政事件訴訟法第9条	取消訴訟の原告適格：当該処分又は裁決の取消しを求めるにつき{0}を有する者に限り、提起することができる。	法律上の利益			
行政法 / 行政事件訴訟法	取消訴訟	行政事件訴訟法第10条	取消訴訟においては、自己の{0}に関係のない{1}を理由として取消しを求めることができない。	法律上の利益	違法		
行政法 / 行政事件訴訟法	取消訴訟	行政事件訴訟法第14条	取消訴訟は、処分又は裁決があったことを知つた日から{0}を経過したときは、提起することができない。	6箇月			
行政法 / 行政事件訴訟法	取消訴訟	行政事件訴訟法第30条	行政庁の裁量処分については、{0}の範囲をこえ又はその{1}があつた場合に限り、裁判所は、その処分を取り消すことができる。	裁量権	濫用		
行政法 / 行政事件訴訟法	差止めの訴え	行政事件訴訟法第37条の4	差止めの訴えは、一定の処分又は裁決がされることにより{0}を生ずるおそれがある場合に限り、提起することができる。ただし、その損害を避けるため他に{1}があるときは、この限りでない。	重大な損害	適当な方法		
行政法 / 行政事件訴訟法	判例	最判平1.2.17（原告適格）	【判例】処分の取消しを求めるにつき「{0}を有する者」とは、当該処分により自己の権利若しくは{1}を侵害され又は必然的に侵害されるおそれのある者をいい、当該処分の根拠法規が{2}の中に吸収解消させるにとどめず、{3}としても保護する趣旨を含む場合にはこれに当たる。	法律上の利益	法律上保護された利益	一般的公益	個別的利益
行政法 / 行政事件訴訟法	判例	最判平21.2.27（訴えの利益）	【判例】処分が判決確定前にその効果を失った場合でも、処分を受けたことにより{0}な法的不利益が残存するときは、なお処分の取消しを求める{1}の利益がある。	客観的	訴え		
民法	総則・権利能力	民法第3条の2	法律行為の当事者が意思表示をした時に意思能力を有しなかったときは、その法律行為は、{0}とする。	無効			
民法	総則・権利能力	民法第1条2項	権利の行使及び義務の履行は、{0}に従い、{1}に、これをしなければならない。	信義	誠実		
民法	総則・権利能力	民法第1条3項	{0}の濫用は、これを許さない。	権利			
民法	制限行為能力者	民法第5条	未成年者が法律行為をするには、その{0}の{1}を得なければならない。	法定代理人	同意		
民法	制限行為能力者	民法第9条	成年被後見人の法律行為は、{0}ことができる。ただし、日用品の購入その他{1}に関する行為については、この限りでない。	取り消す	日常生活		
民法	制限行為能力者	民法第20条	制限行為能力者の相手方は、その制限行為能力者が行為能力者となった後、その者に対し、{0}以上の期間を定めて、その期間内にその取り消すことができる行為を追認するかどうかを確答すべき旨の{1}をすることができる。	1箇月	催告		
民法	制限行為能力者	民法第21条	制限行為能力者が{0}であることを信じさせるため{1}を用いたときは、その行為を取り消すことができない。	行為能力者	詐術		
民法	意思表示	民法第93条（心裡留保）	意思表示は、表意者がその{0}ではないことを知ってしたときであっても、そのためにその効力を妨げられない。ただし、相手方がその意思表示が表意者の真意ではないことを知り、又は知ることができたときは、その意思表示は、{1}とする。	真意	無効		
民法	意思表示	民法第94条	相手方と通じてした虚偽の意思表示は、{0}とする。	無効			
民法	意思表示	民法第94条2項	虚偽表示の無効は、{0}に対抗することができない。	善意の第三者			
民法	意思表示	民法第95条	意思表示は、錯誤に基づくものであって、その錯誤が{0}及び{1}に照らして重要なものであるときは、取り消すことができる。	法律行為の目的	取引上の社会通念		
民法	意思表示	民法第96条2項	相手方に対する意思表示について第三者が詐欺を行った場合においては、{0}がその事実を知り、又は知ることができたときに限り、その意思表示を取り消すことができる。	相手方			
民法	代理	民法第101条	代理人が相手方に対してした意思表示の効力が意思の不存在、錯誤、詐欺、強迫又はある事情を知っていたこと若しくは知らなかったことにつき過失があったことによって影響を受けるべき場合には、その事実の有無は、{0}について決するものとする。	代理人			
民法	代理	民法第104条	委任による代理人は、本人の{0}を得たとき、又は{1}があるときでなければ、復代理人を選任することができない。	許諾	やむを得ない事由		
民法	代理	民法第108条	同一の法律行為について、相手方の代理人として、又は当事者双方の代理人としてした行為は、代理権を有しない者がした行為とみなす。ただし、{0}及び本人が{1}した行為については、この限りでない。	債務の履行	許諾		
民法	代理	民法第114条	無権代理の相手方は、本人に対し、{0}を定めて、その期間内に追認をするかどうかを確答すべき旨の{1}をすることができる。この場合において、本人がその期間内に確答をしないときは、追認を{2}したものとみなす。	相当の期間	催告	拒絶	
民法	代理	民法第115条	無権代理の相手方は、代理権を有しないでした行為について、本人の{0}がない間は、これを{1}することができる。ただし、契約の時において代理権を有しないことを相手方が{2}ときは、この限りでない。	追認	取り消す	知っていた	
民法	代理	民法第117条	他人の代理人として契約をした者は、自己の代理権を証明したとき、又は本人の{0}を得たときを除き、相手方の選択に従い、相手方に対して{1}又は{2}の責任を負う。	追認	履行	損害賠償	
民法	時効	民法第162条（取得時効）	10年間、所有の意思をもって、{0}に、かつ、{1}に他人の物を占有した者は、その所有権を取得する。	平穏	公然		
民法	時効	民法第144条	時効の効力は、その{0}にさかのぼる。	起算日			
民法	時効	民法第145条	時効は、{0}が{1}しなければ、裁判所がこれによって裁判をすることができない。	当事者	援用		
民法	時効	民法第166条（消滅時効）	債権は、債権者が権利を行使することができることを知った時から{0}間行使しないときは、時効によって消滅する。権利を行使することができる時から{1}間行使しないときも、同様とする。	5年	10年		
民法	物権	民法第176条	物権の設定及び移転は、当事者の{0}のみによって、その効力を生ずる。	意思表示			
民法	物権	民法第188条	占有者が占有物について行使する権利は、{0}に行使するものと推定する。	適法			
民法	物権	民法第184条（指図による占有移転）	代理人によって占有をする場合において、本人がその代理人に対して以後{0}のためにその物を占有することを命じ、その第三者がこれを{1}したときは、その第三者は、占有権を取得する。	第三者	承諾		
民法	物権	民法第186条	占有者は、{0}をもって、{1}に、{2}に、かつ、{3}に占有をするものと推定する。	所有の意思	善意	平穏	公然
民法	物権	民法第189条	善意の占有者は、占有物から生ずる{0}を取得する。	果実			
民法	物権	民法第192条（即時取得）	取引行為によって、平穏に、かつ、公然と動産の占有を始めた者は、善意であり、かつ、{0}がないときは、即時にその動産について行使する権利を取得する。	過失			
民法	物権	民法第193条	即時取得の規定の適用については、占有物が{0}又は遺失物であるときは、被害者又は遺失者は、{1}又は遺失の時から{2}間、占有者に対してその物の回復を請求することができる。	盗品	盗難	2年	
民法	物権	民法第194条	占有者が占有物について{0}又は遺失物であるときは、被害者又は遺失者は、占有者が{1}又は{2}からこれを買い受けたときは、被害者又は遺失者は、占有者が支払った{3}しなければ、その物を回復することができない。	盗品	競売	公の市場	代価を弁償
民法	物権	民法第198条（占有保持の訴え）	占有者がその占有を妨害されたときは、{0}の訴えにより、その{1}及び{2}を請求することができる。	占有保持	妨害の停止	損害の賠償	
民法	物権	民法第199条（占有保全の訴え）	占有者がその占有を妨害されるおそれがあるときは、{0}の訴えにより、その{1}又は{2}の担保を請求することができる。	占有保全	妨害の予防	損害賠償	
民法	物権	民法第200条（占有回収の訴え）	占有者がその占有を奪われたときは、{0}の訴えにより、その{1}及び{2}を請求することができる。	占有回収	物の返還	損害の賠償	
民法	物権	民法第242条（不動産の付合）	分離すれば価格を著しく{0}し、又は{1}を要する動産が、不動産に付合したときは、不動産の所有者は、その動産の所有権を取得する。	損傷	過分の費用		
民法	物権	民法第244条	付合した動産について主従の区別をすることができないときは、各動産の所有者は、その{0}の時における{1}の割合でその合成物を{2}する。	付合	価格	共有	
民法	共有	民法第249条	各共有者は、共有物の{0}に従い、共有物の全部について、その持分に応じた{1}をすることができる。	性質	使用		
民法	共有	民法第253条	各共有者は、その持分に応じ、管理の費用を支払い、その他共有物に関する負担を負う。共有者が1年以内に前項の義務を履行しないときは、他の共有者は、{0}してその者の持分を取得することができる。	相当の償金を支払			
民法	共有	民法第251条	各共有者は、共有物の{0}を加えることができない。ただし、その{1}又は{2}の著しい変更を伴わないものについては、各共有者の持分の価格の過半数で決する。	変更	形状	効用	
民法	共有	民法第252条	共有物の{0}に関する事項は、各共有者の持分の価格に従い、その{1}で決する。ただし、{2}は、各共有者がすることができる。	管理	過半数	保存行為	
民法	共有	民法第255条	共有者の一人が、その持分を放棄したとき、又は死亡して相続人がないときは、その持分は、他の{0}に帰属する。	共有者			
民法	担保物権	民法第295条	留置権は、{0}の物を占有している者が、その物に関して生じた債権を有するときに、その債権の弁済を受けるまで、その物を留置する権利である。ただし、その債権が{1}でないとき、又は占有が{2}によって始まった場合には適用しない。	他人	弁済期にない	不法行為	
民法	担保物権	民法第298条	留置権者は、{0}の注意をもって、留置物を占有しなければならない。留置権者は、債務者の承諾を得なければ、留置物を使用し、賃貸し、又は担保に供することができない。ただし、その物の{1}に{2}な使用をすることは、この限りでない。	善良な管理者	保存	必要	
民法	担保物権	民法第297条	留置権者は、留置物から生ずる{0}を収取し、他の債権者に先立って、これを自己の債権の弁済に充当することができる。	果実			
民法	担保物権	民法第369条	抵当権者は、債務者又は第三者が占有を移転しないで{0}に供した不動産について、他の債権者に先立って自己の債権の弁済を受ける権利を有する。	債務の担保			
民法	担保物権	民法第352条（動産質の対抗要件）	動産質権者は、{0}して質物を占有しなければ、その質権をもって第三者に対抗することができない。	継続			
民法	担保物権	民法第353条	質権者は、質物の{0}の訴えのみによって、その質物の回復をすることができる。	占有回収			
民法	担保物権	民法第369条	抵当権者は、債務者又は第三者が{0}を移転しないで債務の担保に供した{1}について、他の債権者に先立って自己の債権の弁済を受ける権利を有する。抵当権は{2}及び{3}についても設定することができる。	占有	不動産	地上権	永小作権
民法	担保物権	民法第370条	抵当権は、抵当地の上に存する{0}を除き、その目的である不動産に{1}して{2}をなしている物に及ぶ。ただし、{3}に別段の定めがあるときは、この限りでない。	建物	付加	一体	設定行為
